default_channel_grouping,date,users,new_users,sessions,bounce_rate,pages_per_session,avg__session_duration,ecommerce_conversion_rate,transactions,revenue
Paid Search,2019-09-17,2221,1938,2404,0.5836106489184693,3.478369384359401,125.72545757071548,0.0012479201331114808,3,87
Paid Search,2019-08-20,1971,1737,2089,0.610818573480134,3.0378171373863094,98.64145524174246,4.786979415988511e-4,1,29
Paid Search,2019-09-16,1862,1576,1997,0.5818728092138208,3.026539809714572,109.88232348522784,0.00100150225338007,2,73.7
Paid Search,2019-12-02,1828,1463,2581,0.5478966041561074,3.4688291941206284,142.53117080587938,0.0015205271160669033,3,73.8
Paid Search,2019-11-29,1814,1527,1889,0.5648491265219693,3.0746426680783485,106.21863419798835,0.0015881418740074113,3,139
Paid Search,2019-06-26,1783,1429,1947,0.5495634309193631,3.5341551104262967,135.98972778633797,0.0015408320493066256,3,184.76
Paid Search,2019-09-25,1711,1390,1904,0.4800420168067227,4.0530462184873945,176.49474789915968,0.0026260504201680674,5,224
Paid Search,2019-11-26,1688,1322,1881,0.5396065922381712,3.5220627325890486,149.53269537480062,0.001063264221158958,2,38.2
Paid Search,2019-05-07,1674,1362,1862,0.48388829215896884,3.899033297529538,157.00161117078412,0.0021482277121374865,4,146.72
Paid Search,2019-11-13,1664,1349,1871,0.5804382683057189,3.293425975414217,142.49278460716195,0.0010689470871191875,2,33
Paid Search,2019-02-20,1646,1399,1816,0.4972466960352423,3.6696035242290748,145.6194933920705,0,0,0
Paid Search,2019-12-03,1644,1315,2297,0.5654897494305239,3.138382687927107,132.24487471526197,0.0028473804100227792,5,154.6
Paid Search,2019-05-08,1621,1349,1754,0.49372862029646525,3.96921322690992,143.51140250855187,0.002280501710376283,4,213.89
Paid Search,2019-11-25,1610,1310,1728,0.5353009259259259,3.291087962962963,124.13194444444444,0.0023148148148148147,4,186.5
Paid Search,2019-09-27,1600,1305,1734,0.5484429065743944,3.572087658592849,140.81026528258363,0.0017301038062283738,3,55
Paid Search,2019-11-19,1594,1288,1764,0.5538548752834467,3.4773242630385486,130.89965986394557,0.0017006802721088435,3,173.7
Paid Search,2019-08-19,1584,1354,1689,0.5654233274126702,3.3025458851391356,115.56719952634695,0.0011841326228537595,2,37.49
Paid Search,2019-09-26,1579,1284,1730,0.5173410404624278,3.4884393063583814,133.11387283236994,0.0023121387283236996,4,105.5
Paid Search,2019-10-15,1570,1321,1710,0.5292397660818714,3.2198830409356725,161.93801169590643,0.0023391812865497076,4,285.4
Paid Search,2019-09-24,1556,1300,1693,0.5014766686355582,4.00354400472534,171.44359125812167,0,0,0
Paid Search,2019-10-23,1544,1206,1679,0.5151876116736153,3.2084574151280525,162.29481834425252,5.955926146515784e-4,1,47
Paid Search,2019-11-28,1542,1285,1631,0.5334150827713059,3.2489270386266096,125.99325567136727,0.001226241569589209,2,13.5
Paid Search,2019-05-09,1537,1225,1685,0.486053412462908,4.122255192878338,152.14955489614243,0,0,0
Paid Search,2019-12-16,1525,1213,2276,0.4804597701149425,4.084482758620689,161.23620689655172,0.005747126436781609,10,259
Paid Search,2019-12-04,1516,1183,2191,0.5194029850746269,3.7719402985074626,164.93253731343285,0.001791044776119403,3,298.4
